"Date","Price","Open","High","Low","Vol.","Change %"
"03/09/1992","3,547.61","3,547.61","3,547.61","3,547.61","","2.15%"
"03/03/1992","3,472.78","3,323.60","3,479.33","3,314.53","","4.19%"
"03/02/1992","3,333.25","3,273.47","3,333.25","3,273.47","","10.46%"
"02/29/1992","3,017.68","2,883.94","3,049.90","2,883.94","","9.37%"
"02/28/1992","2,759.22","2,785.20","2,787.60","2,759.11","","0.64%"
"02/27/1992","2,741.73","2,674.86","2,754.06","2,674.86","","4.75%"
"02/26/1992","2,617.52","2,586.34","2,640.53","2,586.34","","5.07%"
"02/24/1992","2,491.27","2,478.88","2,497.97","2,467.80","","1.49%"
"02/21/1992","2,454.66","2,421.54","2,454.89","2,417.71","","0.23%"
"02/20/1992","2,449.06","2,422.15","2,468.97","2,414.45","","2.81%"
"02/19/1992","2,382.07","2,407.54","2,407.54","2,350.08","","-0.90%"
"02/18/1992","2,403.78","2,476.26","2,478.44","2,402.52","","-1.38%"
"02/17/1992","2,437.30","2,384.03","2,491.68","2,384.03","","4.93%"
"02/13/1992","2,322.79","2,303.11","2,331.22","2,303.11","","0.76%"
"02/12/1992","2,305.38","2,334.32","2,337.75","2,298.03","","1.40%"
"02/10/1992","2,273.47","2,209.65","2,278.40","2,209.65","","3.60%"
"02/07/1992","2,194.48","2,307.02","2,315.20","2,193.27","","-4.97%"
"02/06/1992","2,309.36","2,289.76","2,314.32","2,289.76","","0.91%"
"02/05/1992","2,288.43","2,284.84","2,289.41","2,284.02","","0.43%"
"02/04/1992","2,278.72","2,257.09","2,278.82","2,253.94","","0.26%"
"02/03/1992","2,272.81","2,272.81","2,272.81","2,272.81","","-1.29%"
"01/31/1992","2,302.54","2,300.10","2,329.95","2,300.10","","0.12%"
"01/30/1992","2,299.77","2,275.13","2,300.27","2,254.87","","3.86%"
"01/29/1992","2,214.22","2,209.45","2,214.22","2,186.60","","1.94%"
"01/27/1992","2,172.11","2,144.03","2,181.35","2,142.60","","1.53%"
"01/24/1992","2,139.33","2,146.61","2,153.79","2,134.91","","-0.52%"
